epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.2154,3.75228,8.31362,3.43914,0.00203,0.24545,0.01133,0.00437,5.24143,9.97965,4.60198,0.00058,0.00058,0.00058
2,47.9671,3.50789,6.3953,3.11175,0.0015,0.18182,0.00178,0.00057,6.53611,11.1965,8.68723,0.00115664,0.00115664,0.00115664
3,55.8121,3.46829,5.40148,3.06751,0.00301,0.36364,0.00291,0.00086,5.82056,11.8197,7.09454,0.00170951,0.00170951,0.00170951
4,63.4597,3.48093,4.95997,3.01101,0.0962,0.03636,0.01878,0.00502,5.45636,7.46703,5.0279,0.0018812,0.0018812,0.0018812
5,71.0035,3.53742,4.74084,3.11741,0.23999,0.03939,0.03106,0.01334,5.96128,6.92229,7.98953,0.0018416,0.0018416,0.0018416
6,78.8177,3.26429,4.37486,2.95391,0.29959,0.27576,0.20981,0.10029,3.70392,7.50344,3.50361,0.001802,0.001802,0.001802
7,86.4896,3.39498,4.27637,3.08915,0.44494,0.20303,0.19563,0.09503,3.97149,5.18098,3.54228,0.0017624,0.0017624,0.0017624
8,93.9998,3.33812,3.96652,2.95168,0.40291,0.39697,0.36217,0.17243,3.45585,6.53144,3.26629,0.0017228,0.0017228,0.0017228
9,101.885,3.24996,3.8324,2.96303,0.41868,0.36061,0.33453,0.16821,3.5601,4.65292,3.32512,0.0016832,0.0016832,0.0016832
10,109.628,3.19133,3.56783,2.84207,0.38217,0.32121,0.31301,0.16167,3.57198,4.48236,3.2996,0.0016436,0.0016436,0.0016436
11,117.126,3.12961,3.48928,2.80882,0.47831,0.45152,0.42786,0.21115,3.46855,3.6707,3.1673,0.001604,0.001604,0.001604
12,124.844,3.20695,3.42993,2.82883,0.62238,0.41515,0.44819,0.22267,3.29701,3.70079,2.99895,0.0015644,0.0015644,0.0015644
13,132.536,3.13803,3.57734,2.84937,0.44737,0.40303,0.34654,0.17702,3.13601,4.11103,2.98421,0.0015248,0.0015248,0.0015248
14,140.058,3.0967,3.38231,2.79519,0.46709,0.49697,0.45216,0.23097,3.22402,3.83209,2.9228,0.0014852,0.0014852,0.0014852
15,147.687,3.07649,3.2305,2.77138,0.59259,0.47879,0.52543,0.2833,3.15877,3.22185,2.93484,0.0014456,0.0014456,0.0014456
16,155.582,2.98913,3.11197,2.70809,0.58905,0.45174,0.51162,0.27087,3.23248,3.30886,2.96795,0.001406,0.001406,0.001406
17,163.178,3.02916,3.08234,2.72908,0.57078,0.46061,0.50481,0.27742,3.15713,3.39538,2.92698,0.0013664,0.0013664,0.0013664
18,170.795,2.98775,3.0753,2.7256,0.57244,0.5,0.52209,0.26867,3.23245,3.16763,2.95369,0.0013268,0.0013268,0.0013268
19,178.643,2.92065,2.95198,2.65158,0.55478,0.52109,0.5238,0.29483,3.04411,3.1774,2.7923,0.0012872,0.0012872,0.0012872
20,186.362,2.86366,2.91241,2.6164,0.61555,0.48519,0.52341,0.28078,3.23021,3.17097,2.958,0.0012476,0.0012476,0.0012476
21,194.19,2.98965,2.9719,2.71716,0.55006,0.4816,0.51347,0.27771,3.14257,3.16276,2.86466,0.001208,0.001208,0.001208
22,201.905,2.9188,2.89732,2.6865,0.56983,0.57401,0.55678,0.3011,3.13454,3.2125,2.92806,0.0011684,0.0011684,0.0011684
23,209.562,2.96112,3.01042,2.70898,0.55531,0.56364,0.56064,0.30307,2.97819,3.085,2.75181,0.0011288,0.0011288,0.0011288
24,217.19,2.81621,2.73154,2.6008,0.6488,0.59341,0.6013,0.32691,3.09223,2.91177,2.82608,0.0010892,0.0010892,0.0010892
25,224.96,2.74986,2.63418,2.53646,0.56432,0.58182,0.59216,0.35276,2.97435,2.68832,2.75866,0.0010496,0.0010496,0.0010496
26,232.663,2.77114,2.82106,2.57479,0.59325,0.5834,0.59741,0.34353,2.88301,2.80087,2.70083,0.00101,0.00101,0.00101
27,240.167,2.79189,2.73129,2.59497,0.63555,0.52727,0.58358,0.32513,3.04602,2.88102,2.80546,0.0009704,0.0009704,0.0009704
28,247.975,2.71938,2.5935,2.53996,0.63281,0.53333,0.60535,0.3356,2.98242,3.00931,2.74733,0.0009308,0.0009308,0.0009308
29,255.656,2.71599,2.62351,2.50716,0.64763,0.51212,0.60077,0.3582,2.96225,2.88648,2.71647,0.0008912,0.0008912,0.0008912
30,263.207,2.69852,2.56676,2.51857,0.63467,0.55758,0.61921,0.36918,2.79959,2.71236,2.68134,0.0008516,0.0008516,0.0008516
31,271.015,2.61927,2.39365,2.4459,0.69939,0.56364,0.65066,0.37838,2.87318,2.59847,2.67952,0.000812,0.000812,0.000812
32,278.831,2.64704,2.34692,2.48252,0.65093,0.57576,0.63112,0.37555,2.81269,2.60277,2.69889,0.0007724,0.0007724,0.0007724
33,286.287,2.64733,2.39919,2.47716,0.67442,0.57879,0.62847,0.36786,2.93364,2.83762,2.77687,0.0007328,0.0007328,0.0007328
34,294.021,2.62074,2.38944,2.46001,0.65974,0.60303,0.64105,0.36909,2.94159,2.64008,2.73305,0.0006932,0.0006932,0.0006932
35,301.7,2.62094,2.33051,2.50818,0.68085,0.60303,0.64592,0.38753,2.88306,2.64845,2.72803,0.0006536,0.0006536,0.0006536
36,309.213,2.55225,2.3283,2.4587,0.66457,0.59091,0.64962,0.38153,2.8327,2.57591,2.67579,0.000614,0.000614,0.000614
37,316.86,2.6175,2.31706,2.48194,0.68452,0.54242,0.64345,0.3762,2.90973,2.49147,2.6823,0.0005744,0.0005744,0.0005744
38,324.534,2.44799,2.2563,2.37026,0.63844,0.63636,0.65873,0.38833,2.85506,2.44144,2.68529,0.0005348,0.0005348,0.0005348
39,332.073,2.49555,2.23052,2.40845,0.71136,0.61241,0.67852,0.40212,2.87849,2.37553,2.69181,0.0004952,0.0004952,0.0004952
40,339.767,2.5322,2.39282,2.4519,0.65142,0.60909,0.64907,0.38655,2.87666,2.4675,2.76164,0.0004556,0.0004556,0.0004556
41,349.191,2.39874,2.27562,2.32618,0.74989,0.57576,0.6378,0.38216,2.89198,2.83548,2.74156,0.000416,0.000416,0.000416
42,356.87,2.34948,2.00328,2.40035,0.69896,0.6121,0.67268,0.41098,2.78268,2.39214,2.64888,0.0003764,0.0003764,0.0003764
43,364.466,2.30505,2.02649,2.30632,0.73569,0.60606,0.68716,0.41282,2.80586,2.47767,2.64731,0.0003368,0.0003368,0.0003368
44,372.235,2.30189,2.02265,2.37851,0.77758,0.59328,0.70582,0.41402,2.85795,2.32909,2.68056,0.0002972,0.0002972,0.0002972
45,379.694,2.20114,1.81849,2.25431,0.78988,0.59236,0.71057,0.42406,2.8892,2.32155,2.7033,0.0002576,0.0002576,0.0002576
46,387.401,2.27127,1.85815,2.29953,0.68287,0.67273,0.72105,0.42532,2.8584,2.26362,2.68093,0.000218,0.000218,0.000218
47,395.094,2.19443,1.81804,2.25704,0.72684,0.63333,0.7199,0.42731,2.85441,2.26112,2.69405,0.0001784,0.0001784,0.0001784
48,402.631,2.24532,1.88456,2.30788,0.74118,0.6,0.71248,0.43248,2.77319,2.20599,2.65693,0.0001388,0.0001388,0.0001388
49,410.247,2.16414,1.72953,2.24452,0.71393,0.64282,0.71992,0.43351,2.7774,2.19483,2.67305,9.92e-05,9.92e-05,9.92e-05
50,417.957,2.06658,1.70215,2.21537,0.75851,0.61869,0.72293,0.43169,2.79757,2.18609,2.68867,5.96e-05,5.96e-05,5.96e-05
