epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.172,4.11347,8.46188,3.98827,0.00173,0.20909,0.00498,0.00168,5.38812,9.93396,4.76849,0.00058,0.00058,0.00058
2,47.4173,3.93268,7.00835,3.70623,0.04255,0.02727,0.0136,0.00582,5.00386,9.42851,4.66407,0.00115664,0.00115664,0.00115664
3,55.2175,4.04128,6.23741,3.78048,0.00148,0.17879,0.00156,0.00048,6.74585,8.78721,7.86806,0.00170951,0.00170951,0.00170951
4,62.774,4.03396,5.79497,3.70012,0.06549,0.02424,0.00957,0.0027,5.68439,8.09395,5.79244,0.0018812,0.0018812,0.0018812
5,70.6119,3.97519,5.4757,3.66018,0.13669,0.10606,0.04586,0.01692,5.28689,15.7025,5.44965,0.0018416,0.0018416,0.0018416
6,78.2007,3.90906,5.19637,3.62061,0.28454,0.23333,0.16539,0.05409,4.95148,7.1678,4.57648,0.001802,0.001802,0.001802
7,85.8023,3.83459,5.10346,3.54477,0.29965,0.30909,0.21241,0.0745,4.24142,5.49087,3.90431,0.0017624,0.0017624,0.0017624
8,93.5565,3.81529,4.92573,3.50702,0.18492,0.23333,0.14301,0.05027,4.40125,9.11881,4.04064,0.0017228,0.0017228,0.0017228
9,101.052,3.66005,4.8255,3.39502,0.35069,0.38182,0.31056,0.12854,3.94467,6.95866,3.57376,0.0016832,0.0016832,0.0016832
10,108.779,3.71161,4.58287,3.4535,0.47957,0.36859,0.3696,0.14295,4.1042,4.13637,3.4936,0.0016436,0.0016436,0.0016436
11,116.468,3.76872,4.54694,3.49229,0.44775,0.32121,0.30306,0.11501,4.35025,4.59344,3.72896,0.001604,0.001604,0.001604
12,123.947,3.65725,4.44321,3.44243,0.52354,0.41622,0.40255,0.1586,4.02932,4.01338,3.51716,0.0015644,0.0015644,0.0015644
13,131.598,3.61781,4.40043,3.3572,0.54624,0.31818,0.39984,0.15157,4.16761,4.14572,3.53835,0.0015248,0.0015248,0.0015248
14,139.134,3.67979,4.39586,3.36914,0.42894,0.44545,0.40853,0.16186,3.92306,4.56763,3.34973,0.0014852,0.0014852,0.0014852
15,146.567,3.5936,4.23797,3.32563,0.51825,0.4697,0.45898,0.19769,3.84194,4.00952,3.2869,0.0014456,0.0014456,0.0014456
16,154.307,3.57541,4.19363,3.2977,0.50857,0.41515,0.40815,0.17986,3.72216,4.01613,3.22506,0.001406,0.001406,0.001406
17,161.776,3.62499,4.23943,3.34679,0.54055,0.42783,0.46199,0.21504,3.61895,3.49551,3.12986,0.0013664,0.0013664,0.0013664
18,169.411,3.52138,4.19554,3.33501,0.43292,0.46667,0.41407,0.15281,3.92875,4.14719,3.37882,0.0013268,0.0013268,0.0013268
19,177.378,3.5564,4.16954,3.29038,0.52286,0.50909,0.49873,0.22038,3.74631,3.60427,3.2184,0.0012872,0.0012872,0.0012872
20,184.847,3.58106,4.12416,3.28409,0.53721,0.45758,0.47813,0.20087,4.07008,3.41013,3.31265,0.0012476,0.0012476,0.0012476
21,192.511,3.50085,3.93995,3.26571,0.55015,0.4697,0.50365,0.21097,3.73111,3.82833,3.22067,0.001208,0.001208,0.001208
