epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.9779,4.69113,8.42074,4.46972,0.00145,0.17576,0.00129,0.00036,6.76194,10.1228,5.09292,0.00014,0.00014,0.00014
2,45.8415,4.47276,8.30016,4.22851,0.00113,0.13636,0.0011,0.00043,6.40802,10.0404,5.15997,0.000296288,0.000296288,0.000296288
3,52.6519,3.815,7.328,3.56491,0.0012,0.14545,0.00199,0.0007,5.61058,9.8618,4.66376,0.000448615,0.000448615,0.000448615
4,59.4301,3.72396,6.6597,3.43391,0.00193,0.23333,0.00369,0.00139,4.68672,9.14561,4.00921,0.000596983,0.000596983,0.000596983
5,66.2655,3.61284,6.05533,3.36484,0.00263,0.31818,0.03421,0.0108,4.37692,8.82522,4.11108,0.00074139,0.00074139,0.00074139
6,73.037,3.59114,5.72378,3.32537,0.0011,0.13333,0.00085,0.00034,8.65556,15.1985,13.4862,0.000881838,0.000881838,0.000881838
7,79.8695,3.56151,5.335,3.31248,0.00078,0.09394,0.00144,0.00044,8.21453,16.0719,25.3107,0.00101833,0.00101833,0.00101833
8,86.6235,3.68194,5.26905,3.40352,8e-05,0.00909,4e-05,1e-05,8.24709,inf,27.7981,0.00115085,0.00115085,0.00115085
9,93.4595,3.68097,5.10816,3.3867,8e-05,0.00909,4e-05,1e-05,9.88681,inf,135.33,0.00127942,0.00127942,0.00127942
10,100.243,3.77974,5.03407,3.45426,0.00018,0.02121,9e-05,3e-05,7.38111,inf,13.3881,0.00140403,0.00140403,0.00140403
11,107.086,3.77853,4.9425,3.43337,0.2445,0.08788,0.07827,0.02364,4.91171,6.53889,4.69857,0.00152467,0.00152467,0.00152467
12,113.912,3.7114,4.75358,3.40267,0.22353,0.10909,0.09626,0.02958,4.69315,6.40214,5.50717,0.00164136,0.00164136,0.00164136
13,120.896,3.67438,4.6236,3.3585,0.02337,0.1,0.00898,0.00319,4.87019,18.8152,5.04827,0.001703,0.001703,0.001703
14,127.766,3.73502,4.64194,3.39442,0.00382,0.11818,0.00237,0.00098,5.10493,inf,4.76405,0.00167825,0.00167825,0.00167825
15,134.73,3.67189,4.51741,3.31043,3e-05,0.00303,1e-05,1e-05,8.11771,inf,12.186,0.0016535,0.0016535,0.0016535
16,141.67,3.77414,4.56905,3.37024,0.01456,0.07576,0.01314,0.00536,5.61571,7.56637,5.35985,0.00162875,0.00162875,0.00162875
17,148.531,3.62519,4.36448,3.30361,0.11111,0.03939,0.06579,0.02556,6.07488,8.82838,6.37815,0.001604,0.001604,0.001604
18,155.445,3.59233,4.24658,3.30132,0.34465,0.06364,0.07421,0.02661,5.32017,8.41454,5.07858,0.00157925,0.00157925,0.00157925
19,162.28,3.59122,4.25367,3.26732,0.31584,0.05455,0.06036,0.03001,5.69724,8.50951,5.56107,0.0015545,0.0015545,0.0015545
20,169.261,3.5455,4.17429,3.21519,0.24004,0.12121,0.09223,0.0337,4.66028,5.71389,4.03514,0.00152975,0.00152975,0.00152975
21,176.243,3.55898,4.16946,3.28077,0.25263,0.22727,0.17783,0.06573,4.2248,5.49065,3.84193,0.001505,0.001505,0.001505
22,183.317,3.62445,4.04895,3.23961,0.35574,0.36364,0.28801,0.1222,3.68209,5.70592,3.19647,0.00148025,0.00148025,0.00148025
23,190.281,3.46473,3.90246,3.16155,0.42069,0.27879,0.27352,0.11422,4.02661,5.2723,3.43827,0.0014555,0.0014555,0.0014555
24,197.184,3.55825,4.06261,3.24927,0.26878,0.20606,0.14833,0.06211,4.3491,5.27085,3.59914,0.00143075,0.00143075,0.00143075
25,204.069,3.58778,4.12145,3.26176,0.55106,0.35708,0.40368,0.18926,3.69347,3.64865,3.19042,0.001406,0.001406,0.001406
26,211.013,3.49546,3.95263,3.16802,0.4777,0.36667,0.36691,0.14952,4.04477,4.52045,3.30479,0.00138125,0.00138125,0.00138125
27,217.964,3.56136,3.97227,3.22271,0.39007,0.38788,0.29916,0.12342,3.84646,3.9578,3.19407,0.0013565,0.0013565,0.0013565
28,224.833,3.44723,3.90366,3.19975,0.44859,0.17576,0.19419,0.07974,4.61475,6.11862,3.8105,0.00133175,0.00133175,0.00133175
