epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.76054,3.48472,3.86155,4.08613,0.00193,0.21212,0.00164,0.00049,3.76568,3.89025,4.15946,0.00058,0.00058,0.00058
2,15.6865,3.38866,3.58204,3.91765,0.00179,0.21515,0.00133,0.00044,3.65322,3.53246,4.48946,0.00115664,0.00115664,0.00115664
3,21.4601,3.12004,3.38547,3.50631,0.01439,0.00606,0.00188,0.00061,3.53322,7.40617,4.16519,0.00170951,0.00170951,0.00170951
4,27.0476,2.99892,3.32801,3.27395,0.02719,0.03939,0.0088,0.00246,2.98163,3.58467,3.3898,0.0018812,0.0018812,0.0018812
5,33.3761,2.84478,3.24755,3.06017,0.01203,0.19394,0.00624,0.00194,3.03498,32.5189,5.45853,0.0018416,0.0018416,0.0018416
6,39.4467,2.78092,3.16805,2.96889,0.01366,0.03636,0.00382,0.00123,3.1546,7.28853,3.99724,0.001802,0.001802,0.001802
7,45.0071,2.71235,3.17692,2.92247,0.01489,0.09091,0.00544,0.00165,2.95804,7.76756,3.26196,0.0017624,0.0017624,0.0017624
8,50.7208,2.68283,3.09368,2.85633,0.0192,0.26364,0.01187,0.00392,2.70388,14.3477,3.08859,0.0017228,0.0017228,0.0017228
9,57.0031,2.60899,3.08824,2.80411,0.02198,0.10303,0.01246,0.00354,2.89507,4.46759,3.02269,0.0016832,0.0016832,0.0016832
10,62.7802,2.58179,3.04232,2.77482,0.11692,0.09697,0.05667,0.01406,2.76292,3.97991,2.84825,0.0016436,0.0016436,0.0016436
11,68.3397,2.52983,3.02749,2.72991,0.16475,0.19091,0.09409,0.02528,2.57411,3.46849,2.69428,0.001604,0.001604,0.001604
12,74.0975,2.44818,2.91802,2.67484,0.07452,0.14545,0.03151,0.00864,2.67447,3.12845,2.80765,0.0015644,0.0015644,0.0015644
13,80.2059,2.4061,2.8354,2.62549,0.21706,0.15455,0.11264,0.03396,2.45223,2.90735,2.6053,0.0015248,0.0015248,0.0015248
14,85.9163,2.41371,2.78591,2.60071,0.15665,0.19697,0.09056,0.02561,2.56446,3.18646,2.69986,0.0014852,0.0014852,0.0014852
15,91.4986,2.37323,2.74292,2.56845,0.29035,0.24242,0.18375,0.06124,2.40318,4.20288,2.50349,0.0014456,0.0014456,0.0014456
