epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,43.1555,0.86758,4.25536,0.50869,0.10952,0.14242,0.06428,0.03376,0.70223,1.27325,0.49177,0.00058,0.00058,0.00058
2,78.4506,0.65404,0.771,0.33459,0.54814,0.40909,0.41985,0.23673,0.73634,1.06878,0.58183,0.00115664,0.00115664,0.00115664
3,113.833,0.58696,0.73558,0.29606,0.38086,0.17879,0.16494,0.09421,1.09708,0.61121,0.94201,0.00170951,0.00170951,0.00170951
4,149.225,0.62293,0.69451,0.29895,nan,0.00303,1e-05,0,nan,nan,nan,0.0018812,0.0018812,0.0018812
5,184.73,0.63141,0.75018,0.32981,nan,0.0303,0.00596,0.00349,nan,nan,nan,0.0018416,0.0018416,0.0018416
6,220.142,0.56077,0.77533,0.29575,nan,0.1303,0.04909,0.02664,nan,nan,nan,0.001802,0.001802,0.001802
7,255.613,0.60369,0.83334,0.3398,nan,0.90303,0.48447,0.30308,nan,nan,nan,0.0017624,0.0017624,0.0017624
8,291.195,0.55845,0.75949,0.29124,0.71455,0.52341,0.55379,0.30242,0.59677,0.78347,0.38654,0.0017228,0.0017228,0.0017228
9,326.975,0.56036,0.79442,0.27798,0.71399,0.55979,0.61028,0.33445,0.56435,0.74896,0.36651,0.0016832,0.0016832,0.0016832
10,362.925,0.57434,0.69045,0.31412,nan,0.85152,0.54251,0.33661,nan,nan,nan,0.0016436,0.0016436,0.0016436
11,398.378,0.53965,0.72854,0.27713,nan,0.82121,0.52333,0.31325,nan,nan,nan,0.001604,0.001604,0.001604
12,434.008,0.5528,0.78226,0.28812,0.69676,0.54848,0.60082,0.34172,0.51772,1.14991,0.35655,0.0015644,0.0015644,0.0015644
13,469.842,0.55675,0.78413,0.29632,0.66992,0.51212,0.54717,0.31814,0.60333,1.02045,0.39032,0.0015248,0.0015248,0.0015248
14,505.356,0.49915,0.75548,0.24793,0.72492,0.5697,0.63127,0.38283,0.55274,0.70732,0.33135,0.0014852,0.0014852,0.0014852
15,541.132,0.4977,0.70817,0.25813,0.7331,0.51604,0.60325,0.36471,0.522,0.9018,0.33442,0.0014456,0.0014456,0.0014456
16,576.744,0.47655,0.67602,0.23993,nan,0.8697,0.61084,0.37191,nan,nan,nan,0.001406,0.001406,0.001406
17,612.214,0.50794,0.68892,0.26187,nan,0.84848,0.55948,0.34813,nan,nan,nan,0.0013664,0.0013664,0.0013664
18,647.791,0.49243,0.70272,0.24572,0.72999,0.57349,0.66368,0.42118,0.51383,0.70278,0.38617,0.0013268,0.0013268,0.0013268
19,683.491,0.47023,0.65625,0.23406,0.72228,0.5697,0.65209,0.40768,0.4555,0.85705,0.26804,0.0012872,0.0012872,0.0012872
20,718.99,0.46442,0.66832,0.24364,nan,0.88182,0.60037,0.36842,nan,nan,nan,0.0012476,0.0012476,0.0012476
21,754.427,0.48533,0.67311,0.25473,0.6969,0.63939,0.68073,0.42872,0.51276,0.73022,0.37156,0.001208,0.001208,0.001208
22,790.237,0.49911,0.67378,0.25051,0.6607,0.62424,0.64693,0.40111,0.45099,0.8196,0.27562,0.0011684,0.0011684,0.0011684
23,825.609,0.494,0.68605,0.26253,0.75894,0.60303,0.69409,0.42898,0.48093,0.6609,0.33591,0.0011288,0.0011288,0.0011288
24,861.32,0.50379,0.59445,0.2651,nan,0.93939,0.67168,0.41564,nan,nan,nan,0.0010892,0.0010892,0.0010892
25,896.665,0.44661,0.63029,0.21091,nan,0.95455,0.71309,0.46406,nan,nan,nan,0.0010496,0.0010496,0.0010496
26,932.2,0.46476,0.63395,0.24314,0.73488,0.62158,0.69429,0.43113,0.44717,0.68914,0.28187,0.00101,0.00101,0.00101
27,967.941,0.43555,0.65346,0.21367,0.76992,0.60606,0.71047,0.47632,0.4503,0.63604,0.31063,0.0009704,0.0009704,0.0009704
28,1003.83,0.4404,0.62798,0.22307,0.76572,0.6303,0.72591,0.45106,0.46495,0.73193,0.33032,0.0009308,0.0009308,0.0009308
29,1039.17,0.43698,0.63168,0.20905,nan,0.96061,0.72757,0.45453,nan,nan,nan,0.0008912,0.0008912,0.0008912
30,1074.68,0.39964,0.62687,0.19709,0.75249,0.6697,0.72238,0.45304,0.4752,0.73261,0.33023,0.0008516,0.0008516,0.0008516
31,1110.06,0.41781,0.56256,0.19805,0.75348,0.65455,0.72982,0.46579,0.47734,0.67092,0.32337,0.000812,0.000812,0.000812
32,1145.5,0.40149,0.60063,0.19892,0.75596,0.65708,0.72291,0.466,0.47704,0.66071,0.33685,0.0007724,0.0007724,0.0007724
33,1180.85,0.40826,0.59888,0.19394,0.77476,0.65758,0.73164,0.47975,0.46708,0.6489,0.35239,0.0007328,0.0007328,0.0007328
34,1216.55,0.40831,0.59464,0.20277,0.78183,0.68788,0.74302,0.46602,0.49894,0.6541,0.35272,0.0006932,0.0006932,0.0006932
35,1251.98,0.40388,0.5933,0.19699,nan,0.95455,0.74055,0.4757,nan,nan,nan,0.0006536,0.0006536,0.0006536
36,1287.43,0.39001,0.58803,0.20223,0.75389,0.66667,0.72779,0.47576,0.50391,0.65189,0.3709,0.000614,0.000614,0.000614
37,1322.87,0.42362,0.58535,0.20132,0.74873,0.64545,0.71992,0.46682,0.45478,0.67449,0.304,0.0005744,0.0005744,0.0005744
38,1358.23,0.38566,0.6001,0.18436,0.7858,0.667,0.74793,0.48251,0.45968,0.66094,0.3222,0.0005348,0.0005348,0.0005348
39,1394.02,0.38786,0.55454,0.19642,0.80642,0.7,0.75879,0.49933,0.45309,0.62891,0.3278,0.0004952,0.0004952,0.0004952
40,1429.81,0.3992,0.57287,0.20958,0.8073,0.7,0.77753,0.51452,0.45138,0.58535,0.3075,0.0004556,0.0004556,0.0004556
41,1466.77,0.32025,0.52706,0.15952,0.78672,0.69302,0.76977,0.49187,0.43888,0.62121,0.29129,0.000416,0.000416,0.000416
42,1502.36,0.31868,0.53972,0.18078,0.77844,0.71515,0.79217,0.50403,0.43132,0.62806,0.26956,0.0003764,0.0003764,0.0003764
43,1537.67,0.32344,0.52819,0.16718,0.86132,0.69637,0.82006,0.52921,0.45792,0.54375,0.31648,0.0003368,0.0003368,0.0003368
44,1573.26,0.30547,0.53631,0.1853,0.8432,0.72121,0.81985,0.53676,0.44883,0.56713,0.31086,0.0002972,0.0002972,0.0002972
45,1608.82,0.29915,0.50249,0.15601,0.82315,0.71515,0.81457,0.54698,0.42865,0.58261,0.26657,0.0002576,0.0002576,0.0002576
46,1644.43,0.3055,0.48797,0.16928,0.82177,0.74052,0.82138,0.54892,0.43151,0.5622,0.2682,0.000218,0.000218,0.000218
47,1680.13,0.2941,0.46635,0.14928,0.84065,0.71818,0.81364,0.53524,0.42635,0.57567,0.26366,0.0001784,0.0001784,0.0001784
48,1715.45,0.30622,0.46064,0.15918,0.80641,0.73636,0.81249,0.53504,0.42262,0.57706,0.25421,0.0001388,0.0001388,0.0001388
49,1750.81,0.29684,0.44992,0.14225,0.84219,0.71158,0.81242,0.53761,0.43857,0.5553,0.29803,9.92e-05,9.92e-05,9.92e-05
50,1786.08,0.27415,0.44651,0.13713,0.83337,0.71818,0.81139,0.53868,0.43511,0.56585,0.29791,5.96e-05,5.96e-05,5.96e-05
