epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,42.7774,0.97698,3.5173,0.66784,0.32733,0.41515,0.29149,0.1413,0.63973,1.1683,0.38473,0.00058,0.00058,0.00058
2,77.791,0.84796,0.74217,0.56461,0.41512,0.30606,0.24357,0.09627,0.99846,0.77649,0.88385,0.00115664,0.00115664,0.00115664
3,112.849,0.7592,0.79246,0.4829,nan,0.64545,0.24045,0.11078,nan,nan,nan,0.00170951,0.00170951,0.00170951
4,148.524,0.73098,0.85393,0.44862,0.45974,0.33333,0.32756,0.14256,0.75974,0.87649,0.56169,0.0018812,0.0018812,0.0018812
5,185.252,0.71081,0.77424,0.43455,0.53952,0.4225,0.4325,0.18836,0.69276,0.9818,0.4839,0.0018416,0.0018416,0.0018416
6,221.816,0.69079,0.78921,0.4057,0.51518,0.44545,0.4542,0.23135,0.6275,0.89684,0.4358,0.001802,0.001802,0.001802
7,258.532,0.66395,0.7806,0.39375,0.61414,0.40303,0.44522,0.18708,0.78346,0.80138,0.59562,0.0017624,0.0017624,0.0017624
8,294.928,0.68111,0.79518,0.38363,0.71857,0.52121,0.58461,0.28599,0.55886,0.87975,0.35004,0.0017228,0.0017228,0.0017228
9,331.518,0.67859,0.82316,0.41274,0.68628,0.51515,0.56133,0.30558,0.57394,0.83162,0.42606,0.0016832,0.0016832,0.0016832
10,368.302,0.68656,0.7751,0.40533,0.60935,0.38485,0.44852,0.17068,0.79344,0.83452,0.60283,0.0016436,0.0016436,0.0016436
11,404.727,0.66268,0.78395,0.41783,nan,0.39394,0.2362,0.11304,nan,nan,nan,0.001604,0.001604,0.001604
12,441.092,0.65107,0.79131,0.40183,nan,0.4,0.21854,0.1026,nan,nan,nan,0.0015644,0.0015644,0.0015644
13,477.453,0.66162,0.78114,0.39284,nan,0.69394,0.44971,0.21524,nan,nan,nan,0.0015248,0.0015248,0.0015248
14,513.81,0.64713,0.81778,0.36847,0.76771,0.53636,0.66041,0.33002,0.57526,0.8111,0.35657,0.0014852,0.0014852,0.0014852
15,550.323,0.63478,0.78166,0.37408,0.7148,0.61515,0.66856,0.31209,0.59382,0.79581,0.38693,0.0014456,0.0014456,0.0014456
16,586.745,0.63532,0.73287,0.36424,0.70702,0.59963,0.65447,0.31894,0.60147,0.70662,0.4018,0.001406,0.001406,0.001406
17,623.089,0.65078,0.78761,0.38452,nan,0.81515,0.56568,0.2834,nan,nan,nan,0.0013664,0.0013664,0.0013664
18,659.595,0.62612,0.77524,0.38607,0.7508,0.54779,0.66347,0.28883,0.66419,0.80131,0.47154,0.0013268,0.0013268,0.0013268
19,696.015,0.66151,0.72679,0.39958,0.78839,0.55322,0.70017,0.36692,0.54587,0.71835,0.34045,0.0012872,0.0012872,0.0012872
20,732.677,0.60076,0.78049,0.36452,0.73829,0.58984,0.68517,0.33215,0.5781,0.71702,0.35953,0.0012476,0.0012476,0.0012476
21,769.1,0.61637,0.7548,0.36854,nan,0.88182,0.65882,0.30953,nan,nan,nan,0.001208,0.001208,0.001208
22,805.411,0.63183,0.74182,0.37197,nan,0.86061,0.6157,0.30255,nan,nan,nan,0.0011684,0.0011684,0.0011684
23,841.689,0.61921,0.75218,0.33942,nan,0.89091,0.64576,0.31031,nan,nan,nan,0.0011288,0.0011288,0.0011288
24,877.982,0.6031,0.69337,0.34757,nan,0.92424,0.70053,0.34186,nan,nan,nan,0.0010892,0.0010892,0.0010892
25,914.238,0.61529,0.78676,0.35556,0.73899,0.67576,0.73733,0.38432,0.55614,0.75916,0.36585,0.0010496,0.0010496,0.0010496
26,950.881,0.59352,0.76715,0.35598,0.77417,0.60303,0.68703,0.34914,0.53446,0.73804,0.34354,0.00101,0.00101,0.00101
27,987.341,0.61148,0.76142,0.36118,nan,0.9,0.66639,0.32022,nan,nan,nan,0.0009704,0.0009704,0.0009704
28,1023.82,0.5842,0.74742,0.34181,0.75925,0.66061,0.70265,0.36367,0.55212,0.69796,0.35535,0.0009308,0.0009308,0.0009308
29,1060.16,0.60389,0.71654,0.34316,0.76967,0.65758,0.72929,0.37014,0.54283,0.72128,0.33526,0.0008912,0.0008912,0.0008912
